,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,bengkulu,-3.8004,102.2655,297.82,73,100,2.34,ID,1612647867
252,neiafu,-18.65,-173.9833,300.15,89,75,5.14,TO,1612647988
253,amderma,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
254,feijo,-8.1642,-70.3536,300.3,93,86,0.38,BR,1612648395
255,labuhan,-6.8844,112.2051,298.31,85,3,3.97,ID,1612648395
256,cabo san lucas,22.8909,-109.9124,299.26,56,1,4.12,MX,1612647784
257,praya,14.9215,-23.5087,294.15,60,75,9.26,CV,1612648396
258,ilulissat,69.2167,-51.1,267.15,42,11,9.77,GL,1612648044
259,richards bay,-28.783,32.0377,296.14,87,96,3.24,ZA,1612647992
260,matara,5.9485,80.5353,296.64,88,99,3.64,LK,1612648028
261,los llanos de aridane,28.6585,-17.9182,290.15,59,0,4.12,ES,1612648198
262,erenhot,43.6475,111.9767,256.91,85,5,1.75,CN,1612648396
263,tecoanapa,16.5167,-98.75,301.91,58,17,4.63,MX,1612648396
264,belaya gora,68.5333,146.4167,237.38,84,31,1.06,RU,1612647994
265,kitimat,54.0524,-128.6534,274.82,92,99,0.57,CA,1612648396
266,maragogi,-9.0122,-35.2225,299.13,81,66,4.59,BR,1612648007
267,guerrero negro,27.9769,-114.0611,295.67,37,0,4.29,MX,1612647995
268,tawang,27.5833,91.8667,270.8,89,30,2,IN,1612648397
269,kudahuvadhoo,2.6708,72.8944,300.36,77,46,5.74,MV,1612647882
270,komsomolskiy,40.4272,71.7189,278.15,48,100,3.09,UZ,1612648397
271,machiques,10.0644,-72.545,304.78,47,88,3.88,VE,1612648397
272,puerto colombia,10.9878,-74.9547,303.15,62,0,5.14,CO,1612648397
273,norman wells,65.282,-126.8329,238.15,68,75,2.06,CA,1612647871
274,harstad,68.799,16.5293,272.59,86,90,1.54,NO,1612648397
275,mahon,39.8885,4.2658,287.15,88,0,4.63,ES,1612647970
276,susehri,40.1644,38.0867,274.36,84,0,0.77,TR,1612648398
277,aflu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
278,vardo,70.3705,31.1107,270.52,95,100,12.51,NO,1612648013
279,robertsport,6.7533,-11.3686,300.38,79,99,5.31,LR,1612648398
280,dumas,35.8656,-101.9732,284.82,22,1,7.2,US,1612648204
281,havelock,34.8791,-76.9013,282.15,53,90,2.57,US,1612648064
282,champerico,14.3,-91.9167,305.15,51,40,6.17,GT,1612648049
283,gondanglegi,-7.7479,112.0132,295.8,90,45,1.38,ID,1612648398
284,san cristobal,7.7669,-72.225,304.15,55,40,4.12,VE,1612648046
285,saint george,37.1041,-113.5841,288.71,24,1,1.55,US,1612647772
286,skalistyy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
287,bandarbeyla,9.4942,50.8122,297.37,80,12,5.46,SO,1612648399
288,whitehorse,60.7161,-135.0538,252.04,70,75,1.03,CA,1612648399
289,sohag,26.557,31.6948,288.15,63,0,3.09,EG,1612648399
290,carutapera,-1.195,-46.02,300.01,79,56,3.01,BR,1612648048
291,romilly-sur-seine,48.5108,3.7263,281.15,100,90,2.06,FR,1612648399
292,raudeberg,61.9875,5.1352,268.15,73,0,3.09,NO,1612648400
293,khotyn,48.4833,26.5,270.37,100,75,2,UA,1612648400
294,la ronge,55.1001,-105.2842,244.15,57,77,3.6,CA,1612648045
295,eyl,7.9803,49.8164,297.13,81,2,5.14,SO,1612648002
296,pyay,18.8167,95.2167,295.11,57,82,0.24,MM,1612648400
297,omboue,-1.5746,9.2618,299.37,84,100,2.39,GA,1612648400
298,luanda,-8.8368,13.2343,300.15,78,20,4.12,AO,1612647834
299,plettenberg bay,-34.0527,23.3716,292.34,87,14,3.19,ZA,1612648006
300,surt,31.2089,16.5887,292.74,35,32,6.39,LY,1612648401
301,moussoro,13.6408,16.4901,292.9,22,73,5.03,TD,1612648401
302,ondorhaan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
303,volokolamsk,56.0336,35.9694,253.44,91,100,4.62,RU,1612648401
304,isangel,-19.55,169.2667,301.15,83,20,1.87,VU,1612648401
305,chabahar,25.2919,60.643,292.39,52,0,0.98,IR,1612648401
306,sokol,59.4617,40.1206,250.9,90,100,3.88,RU,1612648261
307,juba,4.8517,31.5825,297.18,19,8,2.34,SS,1612648401
308,saint anthony,45.0205,-93.218,255.15,55,75,7.72,US,1612648046
309,worland,44.0169,-107.9554,264.15,73,90,3.26,US,1612648402
310,anjozorobe,-18.4,47.8667,292.15,94,75,1.03,MG,1612648402
311,khatanga,71.9667,102.5,235.34,78,0,3.37,RU,1612648013
312,mana,5.6592,-53.7767,298.5,86,100,5.76,GF,1612648402
313,bolungarvik,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
314,khash,28.2211,61.2158,280.42,52,0,1.28,IR,1612648402
315,sazonovo,59.0919,35.2268,255.87,92,100,3.61,RU,1612648402
316,atambua,-9.1061,124.8925,296.52,90,94,0.36,ID,1612647993
317,yermish,54.7678,42.2711,251.22,90,96,4.48,RU,1612648403
318,san ignacio,17.1561,-89.0714,307.15,46,0,2.06,BZ,1612648403
319,taldan,53.6667,124.8,243.99,84,12,1.38,RU,1612648403
320,san patricio,28.017,-97.5169,296.15,56,75,8.23,US,1612648032
321,joura,26.3411,77.8115,283.62,58,0,1.8,IN,1612648403
322,zhaotong,27.3167,103.7167,276.18,86,81,2.18,CN,1612648403
323,lloydminster,53.2835,-110.0016,247.15,70,20,1.54,CA,1612647913
324,puerto madryn,-42.7692,-65.0385,289.65,65,97,13.26,AR,1612648403
325,mildura,-34.2,142.15,290.37,82,90,3.6,AU,1612648404
326,huilong,31.8111,121.655,284.82,93,0,2.09,CN,1612648179
327,tabialan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
328,manzhouli,49.6,117.4333,249.33,88,0,3.46,CN,1612648404
329,dedougou,12.4667,-3.4667,301.53,16,71,2.65,BF,1612648404
330,baykit,61.67,96.37,262.83,93,100,2.29,RU,1612648368
331,niquelandia,-14.4739,-48.4597,295.01,94,100,3.1,BR,1612648404
332,sisimiut,66.9395,-53.6735,266.46,79,17,7.34,GL,1612647992
333,tignere,7.3667,12.65,292.64,25,0,1.08,CM,1612648404
334,nakhon nayok,14.1667,101.1,298.15,57,9,1.54,TH,1612648405
335,kangaatsiaq,68.3065,-53.4641,266.99,85,19,10.52,GL,1612648405
336,the valley,18.217,-63.0578,300.15,78,75,5.66,AI,1612648362
337,itarema,-2.9248,-39.9167,299.35,79,35,4.92,BR,1612647897
338,casas grandes,30.3667,-107.95,291.48,14,0,2.91,MX,1612648405
339,general roca,-39.0333,-67.5833,305.15,37,0,1.54,AR,1612648257
340,shizukuishi,39.6833,140.9833,273.4,95,56,1.54,JP,1612648405
341,kuah,6.3265,99.8432,300.15,69,20,1.54,MY,1612648405
342,tambopata,-12.7333,-69.1833,300.98,83,47,1.56,PE,1612648405
343,dauphin,51.1494,-100.0502,246.15,58,1,8.75,CA,1612648406
344,fortuna,40.5982,-124.1573,286.48,87,1,6.17,US,1612648029
345,nizhniy kuranakh,58.8353,125.4869,243.48,82,92,0.88,RU,1612648063
346,buraydah,26.326,43.975,283.15,100,75,2.06,SA,1612648406
347,kamenskoye,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
348,bonavista,48.6499,-53.1147,274.82,100,100,1.54,CA,1612648406
349,lompoc,34.6391,-120.4579,295.15,28,1,3.65,US,1612648047
350,yeppoon,-23.1333,150.7333,301.15,65,81,0.51,AU,1612647892
351,ambilobe,-13.2,49.05,296.24,93,89,1.11,MG,1612648066
352,tateyama,34.9833,139.8667,280.15,61,0,3.09,JP,1612648407
353,vila franca do campo,37.7167,-25.4333,288.71,94,75,5.66,PT,1612648017
354,constantine,36.365,6.6147,291.15,32,75,9.77,DZ,1612648353
355,mrirt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
356,padang,-0.9492,100.3543,296.15,88,20,1.03,ID,1612648041
357,merauke,-8.4667,140.3333,300.11,82,100,6.15,ID,1612648407
358,zharkent,44.1628,80,273.25,80,100,0.36,KZ,1612648029
359,nichinan,31.6,131.3667,283.15,71,20,8.23,JP,1612648407
360,agadez,19.75,10.25,290.44,26,55,3.08,NE,1612648408
361,krasnoselkup,65.7,82.4667,251.27,90,99,6.53,RU,1612648181
362,butaritari,3.0707,172.7902,300.51,80,100,9.55,KI,1612647987
363,millerovo,48.9226,40.3967,267.31,85,100,6.55,RU,1612648408
364,ducheng,23.2373,111.5317,289.87,69,0,0.91,CN,1612648408
365,iqaluit,63.7506,-68.5145,269.15,86,90,6.17,CA,1612648044
